Mã Laptop,Tên Laptop,Tên Hãng (Laptop),Ngày Nhập,Số Tồn,Số Lượng,Giá Tiền (Laptop),CPU,Tên Hãng (CPU),GPU,Tên Hãng (GPU),Ổ Cứng,Tên Hãng (Ổ cứng),RAM,Tên Hãng (RAM)
1901030405110,HP Pavilion Gaming 15,HP,18/03/2025,14,7,"22,000,000 VND",AMD Ryzen 5 4600H,AMD,NVIDIA Geforce GTX 1650,NVIDIA,Crucial P5 512GB,Crucial,Kingston 8GB DDR4 3200MHz,Kingston
1902020505111,HP Chromebook x360 14c,HP,04/10/2025,15,7,"13,000,000 VND",Intel Pentium Silver N5030,Intel,Integrated Intel UHD,Intel,Kingston A2000 256GB,Kingston,Kingston 8GB DDR4 3200MHz,Kingston
1902020505112,HP Pavilion 14,HP,20/02/2025,22,12,"17,000,000 VND",Intel Core i5-1135G7,Intel,Intel Iris Xe,Intel,Kingston A2000 512GB,Kingston,Kingston 8GB DDR4 3200MHz,Kingston
1902020505113,HP Pavilion 14-ce3600,HP,04/10/2025,20,10,"16,000,000 VND",Intel Core i5-1135G7,Intel,Intel Iris Xe,Intel,Kingston A2000 512GB,Kingston,Kingston 8GB DDR4 3200MHz,Kingston
1902020505114,HP Pavilion 15,HP,18/01/2025,14,5,"18,000,000 VND",Intel Core i5-1135G7,Intel,Intel Iris Xe,Intel,Kingston A2000 512GB,Kingston,Kingston 8GB DDR4 3200MHz,Kingston
1901010905115,HP ProBook 455,HP,03/05/2025,16,8,"18,000,000 VND",AMD Ryzen 5 4500U,AMD,Integrated AMD Radeon,AMD,Western Digital Blue 512GB,Western Digital,Kingston 8GB DDR4 3200MHz,Kingston
1902020905116,HP EliteBook 840,HP,20/02/2025,7,4,"28,000,000 VND",Intel Core i5-1135G7,Intel,Intel Iris Xe,Intel,Western Digital Blue 512GB,Western Digital,Kingston 8GB DDR4 3200MHz,Kingston
1902020905117,HP ProBook 640,HP,28/03/2025,15,6,"19,000,000 VND",Intel Core i5-1135G7,Intel,Intel Iris Xe,Intel,Western Digital Blue 512GB,Western Digital,Kingston 8GB DDR4 3200MHz,Kingston
1902020905118,HP EliteBook 840 G7,HP,22/02/2025,6,3,"29,000,000 VND",Intel Core i5-10310U,Intel,Intel UHD,Intel,Western Digital Blue 512GB,Western Digital,Kingston 8GB DDR4 3200MHz,Kingston
2001030411119,Lenovo Legion 5,Lenovo,03/05/2025,18,8,"32,000,000 VND",AMD Ryzen 7 5800H,AMD,NVIDIA Geforce RTX 3060,NVIDIA,Crucial P5 1TB,Crucial,Corsair Vengeance 16GB DDR4 3200MHz,Corsair
2002020511120,Lenovo ThinkPad X13,Lenovo,01/12/2025,11,5,"35,000,000 VND",Intel Core i7-1165G7,Intel,Intel Iris Xe,Intel,Kingston KC3000 512GB,Kingston,Corsair Vengeance 16GB DDR4 3200MHz,Corsair
2001030911121,Lenovo Legion 5 15ACH6,Lenovo,04/12/2025,10,5,"34,000,000 VND",AMD Ryzen 7 5800H,AMD,NVIDIA Geforce RTX 3060,NVIDIA,Western Digital Black SN750 1TB,Western Digital,Corsair Vengeance 16GB DDR4 3200MHz,Corsair
2002020911122,Lenovo ThinkPad T14,Lenovo,22/02/2025,13,6,"32,000,000 VND",Intel Core i7-1165G7,Intel,Intel Iris Xe,Intel,Western Digital Blue 512GB,Western Digital,Corsair Vengeance 16GB DDR4 3200MHz,Corsair
2001030911123,Lenovo Legion 5 Pro,Lenovo,02/05/2025,9,5,"38,000,000 VND",AMD Ryzen 7 6800H,AMD,NVIDIA Geforce RTX 3070,NVIDIA,Western Digital Black SN850 1TB,Western Digital,Corsair Vengeance 16GB DDR5 5200MHz,Corsair
2001030911124,Lenovo Legion Slim 7,Lenovo,15/03/2025,7,4,"42,000,000 VND",AMD Ryzen 9 5900HX,AMD,NVIDIA Geforce RTX 3060,NVIDIA,Western Digital Black SN850 1TB,Western Digital,Corsair Vengeance 32GB DDR4 5200MHz,Corsair
2002030911125,Lenovo Legion 7,Lenovo,25/02/2025,5,3,"45,000,000 VND",Intel Core i9-12900H,Intel,NVIDIA Geforce RTX 3080,NVIDIA,Western Digital Black SN850 2TB,Western Digital,Corsair Vengeance 32GB DDR5 5200MHz,Corsair
2002030911126,Lenovo Legion 7i,Lenovo,01/05/2025,18,9,"46,000,000 VND",Intel Core i9-12900HK,Intel,NVIDIA Geforce RTX 3080,NVIDIA,Western Digital Black SN850 2TB,Western Digital,Corsair Vengeance 32GB DDR5 5200MHz,Corsair
2001010405127,Lenovo IdeaPad Flex 5,Lenovo,15/01/2025,10,5,"22,000,000 VND",AMD Ryzen 7 5700U,AMD,Integrated AMD Radeon,AMD,Crucial P2 512GB,Crucial,Kingston 16GB DDR4 3200MHz,Kingston
2002020405128,Lenovo Yoga C940,Lenovo,04/10/2025,15,7,"35,000,000 VND",Intel Core i7-1065G7,Intel,Intel Iris Plus,Intel,Crucial P5 1TB,Crucial,Kingston 16GB DDR4 3200MHz,Kingston
2002020405129,Lenovo Yoga 7i,Lenovo,28/03/2025,15,6,"27,000,000 VND",Intel Core i7-1165G7,Intel,Intel Iris Xe,Intel,Crucial P5 1TB,Crucial,Kingston 16GB DDR4 3200MHz,Kingston
2002020405130,Lenovo Yoga 9i,Lenovo,04/10/2025,20,10,"40,000,000 VND",Intel Core i7-1185G7,Intel,Intel Iris Xe,Intel,Crucial P5 Plus 1TB,Crucial,Kingston 16GB DDR4 3200MHz,Kingston
2002020505131,Lenovo Yoga Slim 7,Lenovo,01/12/2025,20,10,"28,000,000 VND",Intel Core i7-1165G7,Intel,Intel Iris Xe,Intel,Kingston A2000 512GB,Kingston,Kingston 16GB DDR4 3200MHz,Kingston
2002020405132,Lenovo Yoga Slim 7 Carbon,Lenovo,18/04/2025,19,9,"30,000,000 VND",Intel Core i7-1165G7,Intel,Intel Iris Xe,Intel,Crucial P5 Plus 1TB,Crucial,Kingston 16GB DDR4 4266MHz,Kingston
2002020505133,Lenovo ThinkPad X1 Yoga,Lenovo,28/01/2025,8,4,"42,000,000 VND",Intel Core i7-1165G7,Intel,Intel Iris Xe,Intel,Kingston KC3000 1TB,Kingston,Kingston 16GB DDR4 4266MHz,Kingston
2002020505134,Lenovo ThinkPad X1 Carbon,Lenovo,18/01/2025,14,5,"40,000,000 VND",Intel Core i7-1260P,Intel,Intel Iris Xe,Intel,Kingston KC3000 1TB,Kingston,Kingston 16GB DDR5 5200MHz,Kingston
2001010505135,Lenovo IdeaPad 3 15ADA,Lenovo,03/05/2025,16,8,"14,000,000 VND",AMD Ryzen 3 3250U,AMD,Integrated AMD Radeon,AMD,Kingston A2000 256GB,Kingston,Kingston 8GB DDR4 3200MHz,Kingston
2002020505136,Lenovo Chromebook Flex 5,Lenovo,04/10/2025,30,20,"12,000,000 VND",Intel Core i3-10110U,Intel,Intel UHD,Intel,Kingston A2000 256GB,Kingston,Kingston 8GB DDR4 3200MHz,Kingston
2002020505137,Lenovo ThinkPad E15,Lenovo,18/03/2025,14,7,"20,000,000 VND",Intel Core i5-1135G7,Intel,Intel Iris Xe,Intel,Kingston A2000 512GB,Kingston,Kingston 8GB DDR4 3200MHz,Kingston
2002030505138,Lenovo IdeaPad Gaming 3 15IMH05,Lenovo,18/03/2025,12,6,"22,000,000 VND",Intel Core i5-10300H,Intel,NVIDIA Geforce GTX 1650,NVIDIA,Kingston A2000 512GB,Kingston,Kingston 8GB DDR4 3200MHz,Kingston
2002020905139,Lenovo ThinkBook 14,Lenovo,20/02/2025,7,4,"18,000,000 VND",Intel Core i5-1135G7,Intel,Intel Iris Xe,Intel,Western Digital Blue 256GB,Western Digital,Kingston 8GB DDR4 3200MHz,Kingston
2002020905140,Lenovo IdeaPad Flex 3,Lenovo,20/03/2025,14,7,"16,000,000 VND",Intel Core i3-1115G4,Intel,Intel UHD,Intel,Western Digital Blue 256GB,Western Digital,Kingston 8GB DDR4 3200MHz,Kingston
2001010905141,Lenovo IdeaPad 3,Lenovo,02/10/2025,12,6,"15,000,000 VND",AMD Ryzen 5 5500U,AMD,Integrated AMD Radeon,AMD,Western Digital Blue 512GB,Western Digital,Kingston 8GB DDR4 3200MHz,Kingston
2001010905142,Lenovo IdeaPad 5,Lenovo,22/01/2025,16,8,"18,000,000 VND",AMD Ryzen 5 5500U,AMD,Integrated AMD Radeon,AMD,Western Digital Blue 512GB,Western Digital,Kingston 8GB DDR4 3200MHz,Kingston
2002020905143,Lenovo ThinkPad L14,Lenovo,22/02/2025,6,3,"21,000,000 VND",Intel Core i5-1135G7,Intel,Intel Iris Xe,Intel,Western Digital Blue 512GB,Western Digital,Kingston 8GB DDR4 3200MHz,Kingston
2001030905144,Lenovo IdeaPad Gaming 3,Lenovo,20/02/2025,22,12,"21,000,000 VND",AMD Ryzen 5 5600H,AMD,NVIDIA Geforce GTX 1650,NVIDIA,Western Digital Blue 512GB,Western Digital,Kingston 8GB DDR4 3200MHz,Kingston
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
